drug_id	cyp1a2_sub	cyp1a2_inh	cyp1a2_ind	cyp2c19_sub	cyp2c19_inh	cyp2c19_ind	cyp2c9_sub	cyp2c9_inh	cyp2c9_ind	cyp2d6_sub	cyp2d6_inh	cyp2d6_ind	cyp2e1_sub	cyp2e1_inh	cyp2e1_ind	cyp3a4_sub	cyp3a4_inh	cyp3a4_ind
(+)-(R)-Dihydrodaidzein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(+)-(S)-145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(+)-(S)-145 AND DERIVATIVES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(+)_1(10)_4_cadinadiene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(+)_cis_carveol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(+)_galeon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(+)_kolavelool	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(+)_trans_carveol_glucoside	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(-)-cotinine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(-)-ibuprofen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(-)-norgestrel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(-)-trans-Pinocarveol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(10z_14e_16e)_10_14_16_octadecatrien_12_ynoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(16s)_16_hydroxy_13_16_secotrachyloba_13_ene_3_one	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1R,2R)-(-)-1,2-Diaminocyclohexane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1S,4R)-Fenchone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1beta_4alpha)_7_(beta_d_glucopyranosyloxy)_p_menthane_8_ol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r)_1_2_dihydro_4_7_dimethyl_1_(1_methylethyl)naphthalene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r_2r_20r_53r_54s)_7_8_9_12_13_14_25_26_27_30_31_32_35_40_46_47_hexadecahydroxy_3_18_21_38_49_55_58_62_octaoxatetradecacyclo_27.25.3.334_54.241_44.02_20.05_10.011_16.023_28.033_57.037_53.039_52.042_51.043_48.037_60_dohexaconta_5_7_9_11_13_15_23_25_27_29(57)_30_32_34_39(52)_40_42(51)_43(48)_44_46_nonadecaene_4_17_22_36_50_56_59_61_octone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r_2r_4s_5r_8r_9s_10s_11r)_4_hydroxy_11_methyl_6_methylidene_12_oxo_13_oxapentacyclo_9.3.3.15_8.01_10.02_8_octadecane_9_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r_4r)_1_methyl_4_(propan_2_yl)cyclohexane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r_6alpha)_1alpha_methyl_3alpha_acetoxy_4beta__1_methylene_2_(angeloyloxy)_5_methyl_4_hexenyl__5alpha_hydroxy_7_oxabicyclo_4.1.0_heptane_2_one	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r_9s_10r)_4_4_10_trimethyl_1_11_bis(3_methylbut_2_enyl)_10_(4_methylpent_3_enyl)_9_(2_methylpropanoyl)_3_oxatricyclo_7.3.1.02_7_trideca_2(7)_5_diene_8_13_dione	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)_3__(z)_2__(1r_3as_7ar)_7a_methyl_1__(2r)_6_methylheptan_2_yl__2_3_3a_6_7_7a_hexahydro_1h_inden_4_yl_ethenyl__4_methylcyclohex_3_en_1_ol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s_2r_1primes_2primer)_doxacurium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s_2r_4as_7s_8as)_7_(2_hydroxypropan_2_yl)_1_4a_dimethyl_decahydronaphthalen_2_ol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s_2r_4r_5s_7s_11s_12s_15r_16s)_15__(2s_3r_4r)_3_4_dihydroxy_6_methyl_5_methylideneheptan_2_yl__4_5_dihydroxy_2_16_dimethyl_9_oxatetracyclo_9.7.0.02_7.012_16_octadecan_8_one	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s_2s_4s_8r)_9_(beta_d_glucopyranosyloxy)_p_menthane_1_2_8_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
